address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 мкр Зердели (Алгабас-6) 39,19 600 000 〒,1, 37, 1/5,['монолитный дом'],['2012 г.п.'],['Алатауский р-н']
 мкр Мирас,300 000 000 〒,5, 216.5, 4/5,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
 мкр Зердели (Алгабас-6) 39,19 600 000 〒,1, 37, 1/5,['монолитный дом'],['2012 г.п.'],['Алатауский р-н']
 мкр Мирас,300 000 000 〒,5, 216.5, 4/5,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
" мкр Ожет, Жапсарбаева 68",42 000 000 〒,3, 93, 4/8,['монолитный дом'],['2023 г.п.'],['Алатауский р-н']
 Аль-Фараби 41,240 000 000 〒,4, 140, 17/19,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
" мкр Рахат, Аскарова 11 11 — Кокдала",33 000 000 〒,1, 36, 4/5,['кирпичный дом'],['1984 г.п.'],['Наурызбайский р-н']
" мкр Тастак-3, Аносова",33 000 000 〒,2, 45, 1/4,['панельный дом'],['1979 г.п.'],['Алмалинский р-н']
 мкр Саялы,40 000 000 〒,3, 75, 3/5,['монолитный дом'],['2017 г.п.'],['Алатауский р-н']
 Жунисова 10 к1 — Райымбека-Алатау,27 000 000 〒,1, 48, 5/6,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
" мкр Таугуль, Жандосова 170",30 000 000 〒,2, 45, 3/4,['кирпичный дом'],['1967 г.п.'],['Ауэзовский р-н']
 Бухтарминская 156/5,24 000 000 〒,2, 48, 4/12,['монолитный дом'],['2023 г.п.'],[]
 мкр Зердели (Алгабас-6) 54,32 000 000 〒,2, 70, 1/5,['монолитный дом'],['2015 г.п.'],['Алатауский р-н']
 мкр Мамыр-1 — Трц спутник,53 500 000 〒,2, 72.7, 9/17,['монолитный дом'],['2014 г.п.'],['Ауэзовский р-н']
 Ислама Каримова 56,59 500 000 〒,3, 72, 9/9,['монолитный дом'],['1986 г.п.'],['Алмалинский р-н']
 мкр Думан-2 15/3/2,36 000 000 〒,3, 77, 1/10,[],['2022 г.п.'],['Медеуский р-н']
 мкр Шугыла — Наурызбайский ЦОН,23 000 000 〒,1, 46, 2/9,[],['2020 г.п.'],['Наурызбайский р-н']
 17-я улица,89 999 999 〒,4, 160, 1/3,['кирпичный дом'],['2022 г.п.'],['Бостандыкский р-н']
 мкр Алмагуль 4 — Розыбакиева/ Журавлева,28 000 000 〒,1, 28.63, 2/13,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
" мкр Курамыс, Сейдимбек 102",31 000 000 〒,1, 41.32, 4/4,['кирпичный дом'],['2023 г.п.'],['Наурызбайский р-н']
 мкр Жулдыз-2,36 000 000 〒,2, 65, 5/6,['монолитный дом'],['2007 г.п.'],['Турксибский р-н']
 мкр Жулдыз-1 19 г,40 000 000 〒,3, 95, 9/9,['монолитный дом'],['2007 г.п.'],['Турксибский р-н']
" мкр Шугыла, Мкр. Шугыла 340/3, 340/8",21 500 000 〒,1, 47.64, 4/9,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр Каргалы 54/23,62 500 000 〒,3, 78.8, 3/10,['монолитный дом'],['2013 г.п.'],['Наурызбайский р-н']
 Айманова 172 — Жандосова,45 000 000 〒,3, 66, 4/5,['панельный дом'],['1978 г.п.'],['Бостандыкский р-н']
 Шугыла/Саина 52,15 000 000 〒,1, 30, 5/7,['монолитный дом'],['2023 г.п.'],['Алатауский р-н']
" мкр Акбулак, 3-я улица",35 000 000 〒,2, 54.8, 1/12,['монолитный дом'],['2018 г.п.'],['Алатауский р-н']
 Такежанова 43в,22 000 000 〒,2, 42, 2/6,['монолитный дом'],['2022 г.п.'],[]
 мкр Айнабулак-2 32/2,28 500 000 〒,2, 50, 2/6,['монолитный дом'],['2017 г.п.'],['Жетысуский р-н']
 Саина 777,28 500 000 〒,2, 50.6, 4/4,['монолитный дом'],['2023 г.п.'],['Алатауский р-н']
 мкр Таугуль-2,50 000 000 〒,3, 70, 3/5,['панельный дом'],['1993 г.п.'],['Ауэзовский р-н']
 мкр Орбита-4 19,42 000 000 〒,2, 50, 4/5,['кирпичный дом'],['1984 г.п.'],['Бостандыкский р-н']
 Райымбека 82 — Кунаева,24 500 001 〒,1, 31, 2/5,['панельный дом'],['1967 г.п.'],['Медеуский р-н']
 Сатпаева 90/54,120 000 000 〒,4, 120, 15/16,['монолитный дом'],['2021 г.п.'],['Бостандыкский р-н']
 Прокофьева 144 — Шакарима,65 000 000 〒,3, 87, 15/18,['монолитный дом'],['2007 г.п.'],['Алмалинский р-н']
" мкр Шугыла, Алма Сити 4/1 2/13 к32 — Жунисова",21 500 000 〒,1, 39, 6/6,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 ул. Варламова 27B,70 000 000 〒,3, 100.76, 14/17,['монолитный дом'],['2023 г.п.'],['Алмалинский р-н']
 мкр Кайрат 20,25 000 000 〒,2, 36, 1/2,['кирпичный дом'],['2019 г.п.'],['Турксибский р-н']
 Пушкина 26 — Пушкина/Маметова,65 000 000 〒,5, 110.5, 5/5,['кирпичный дом'],['1981 г.п.'],['Медеуский р-н']
 Жубанова 13,12 000 000 〒,1, 16, 3/5,['панельный дом'],['1975 г.п.'],['Ауэзовский р-н']
 Аль-Фараби 1а — Достык Аль- Фараби,108 000 000 〒,3, 112, 5/13,['монолитный дом'],['2017 г.п.'],['Медеуский р-н']
 Акынов 30 а,10 000 000 〒,1, 19.2, 2/3,['кирпичный дом'],['1962 г.п.'],['Турксибский р-н']
 Талгарский тракт 6,24 128 000 〒,2, 52.2, 6/9,['монолитный дом'],['2023 г.п.'],['Медеуский р-н']
 Аль-Фараби 97,95 000 000 〒,3, 131.7, 7/13,['монолитный дом'],['2005 г.п.'],['Бостандыкский р-н']
 богенбай батыра 117 — тулебаева,52 000 000 〒,2, 50, 3/3,['кирпичный дом'],['1957 г.п.'],['Медеуский р-н']
 Брусиловского 163,73 000 000 〒,3, 143, 15/20,['монолитный дом'],['2011 г.п.'],['Алмалинский р-н']
 Утеген батыра 11 — Төле би - Өтеген батыр,29 500 000 〒,1, 40.1, 11/15,['монолитный дом'],['2023 г.п.'],[]
" 13-й микрорайон, Дарабоз 25 — На против Алматы арена",27 000 000 〒,1, 44.8, 9/12,['монолитный дом'],['2017 г.п.'],['Алатауский р-н']
 Басенова 41 — Розыбакиева-Басенова,25 700 000 〒,1, 31, 3/5,['панельный дом'],['1979 г.п.'],['Бостандыкский р-н']
" мкр Шугыла, Сакен Жунисова — Толе Би",28 500 000 〒,2, 49, 8/10,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
" мкр Алгабас, Камажай 23",50 000 000 〒,4, 170, 2/3,['кирпичный дом'],['2007 г.п.'],['Алатауский р-н']
 Сатпаева 90/52 — Сатпаева уг. ул Тилендиева,80 000 000 〒,3, 75, 9/16,['монолитный дом'],['2021 г.п.'],['Бостандыкский р-н']
 Клочкова 128 — Мынбаева Клочкова,44 000 000 〒,3, 58.4, 1/5,['панельный дом'],['1976 г.п.'],['Бостандыкский р-н']
 мкр Зердели (Алгабас-6) 135,22 000 000 〒,1, 44.4, 4/9,['монолитный дом'],['2014 г.п.'],['Алатауский р-н']
 Нахимова 51,45 000 000 〒,2, 45.1, 12/12,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
" Минусинска 20Б — ТЦ Форум, Темерязева-космонавтов",16 000 000 〒,1, 14, 3/4,['панельный дом'],['1970 г.п.'],['Бостандыкский р-н']
 Сатпаева 133 — Тлендиева,45 000 000 〒,1, 43, 15/16,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
" мкр Коккайнар, Аркалык 33",18 000 000 〒,1, 31, 3/5,['монолитный дом'],['2018 г.п.'],['Алатауский р-н']
 Макатаева 127 — Шарипова,38 250 000 〒,1, 45.5, 13/13,['монолитный дом'],['2021 г.п.'],['Алмалинский р-н']
 Гоголя — Байзакова,41 555 555 〒,2, 51.7, 5/5,['кирпичный дом'],['1981 г.п.'],['Алмалинский р-н']
" мкр Алмагуль, Гагарина 310",47 990 000 〒,1, 50, 16/20,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 мкр Таугуль-2 24 — Навои-Рыскулбекова,52 000 000 〒,4, 82.6, 4/5,['панельный дом'],['1991 г.п.'],['Ауэзовский р-н']
