address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 Сарыарка — Рыскулова,35 000 000 〒,2, 58, 5/9,['монолитный дом'],['2021 г.п.'],['Турксибский р-н']
 Какимбек Салыков 42,64 000 000 〒,2, 71.3, 1/3,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 мкр Юбилейный 217 — Ондасанова,53 940 000 〒,2, 58, 3/3,['монолитный дом'],['2023 г.п.'],['Медеуский р-н']
 Утеген батыра,16 500 000 〒,1, 18, 2/5,['кирпичный дом'],['1979 г.п.'],['Ауэзовский р-н']
 Акан серы,25 000 000 〒,2, 43, 3/3,['кирпичный дом'],['1968 г.п.'],['Турксибский р-н']
 Аль-Фараби 5Г — Н. Назарбаева,260 000 000 〒,3, 118, 29/33,['монолитный дом'],['2019 г.п.'],['Бостандыкский р-н']
 Боткина 14/2 — Райымбека,25 500 000 〒,1, 44, 5/9,['монолитный дом'],['2023 г.п.'],['Жетысуский р-н']
 мкр Аксай-4 — Сайна Жубанова,45 000 000 〒,2, 74, 6/10,['монолитный дом'],['2019 г.п.'],['Ауэзовский р-н']
 мкр Акбулак,40 000 000 〒,2, 61, 2/12,['монолитный дом'],['2021 г.п.'],['Алатауский р-н']
 мкр Коктем-1 50а,43 000 000 〒,3, 55, 4/4,['кирпичный дом'],['1960 г.п.'],['Бостандыкский р-н']
 мкр Айнабулак-3 116,33 000 000 〒,2, 52, 1/5,['панельный дом'],['1985 г.п.'],['Жетысуский р-н']
 Садвакасова 35 — абая момышулы,23 500 000 〒,1, 27.2, 10/12,['монолитный дом'],['2018 г.п.'],['Ауэзовский р-н']
 Жунисова 4 — Жунисова,21 500 000 〒,1, 42, 5/6,[],['2023 г.п.'],['Наурызбайский р-н']
 мкр Алтай-1 11а,35 000 000 〒,3, 64, 1/4,['панельный дом'],['1979 г.п.'],['Турксибский р-н']
 Алтын Орда 6/31,26 000 000 〒,2, 59, 1/5,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр Аксай-4 39,100 000 000 〒,3, 77, 2/9,['панельный дом'],['1990 г.п.'],['Ауэзовский р-н']
" мкр 13-й военный городок, Мкр 13-й военный городок — Суюнбая",20 000 000 〒,1, 35, 5/5,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
 мкр Алатау (ИЯФ),30 000 000 〒,3, 57.8, 4/4,['панельный дом'],['1964 г.п.'],['Медеуский р-н']
 Жунисова 10 к1,13 700 000 〒,1, 26, 9/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Жунисова",21 000 000 〒,1, 31, 1/5,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Жунисова 10 к10",39 500 000 〒,3, 78, 5/6,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
 проспект Абая 203 — Тургут Озала,50 500 000 〒,2, 49, 6/12,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 Садвакасова 35 — абая момышулы,23 500 000 〒,1, 27.2, 10/12,['монолитный дом'],['2018 г.п.'],['Ауэзовский р-н']
 мкр Айнабулак-1 70,20 000 000 〒,1, 33,,[],['1982 г.п.'],['Жетысуский р-н']
 мкр Айнабулак-1 19,21 900 000 〒,1, 32, 3/5,['панельный дом'],['1984 г.п.'],['Жетысуский р-н']
" мкр Шугыла, Райымбека 9 — Райымбека 590/2",22 000 000 〒,1, 33.3, 5/9,['монолитный дом'],['2023 г.п.'],['Наурызбайский р-н']
 мкр Шугыла,28 000 000 〒,1, 42, 3/9,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Жунисова",23 000 000 〒,1, 42, 4/10,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
" мкр Шугыла уч. 340/3, 340/8",21 500 000 〒,1, 47.49, 7/9,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Просп. Назарбаева — Райимбека Назарбаева,36 500 000 〒,1, 44.5, 4/13,['монолитный дом'],['2022 г.п.'],[]
 Радостовца 152Л — Тимирязева,34 200 000 〒,3, 58, 4/4,['панельный дом'],['1962 г.п.'],['Бостандыкский р-н']
 Сейфуллина 580 — Аль-фараби,141 500 000 〒,3, 150, 9/12,['монолитный дом'],['2016 г.п.'],['Бостандыкский р-н']
 Водник 3 мкр 86 — Бурундай,27 000 000 〒,4, 78.6, 4/5,['панельный дом'],['1990 г.п.'],[]
 Утепова 20 — Розыбакиева,75 000 000 〒,3, 85, 11/13,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 мкр Айнабулак-1 17,22 000 000 〒,1, 33, 5/5,['панельный дом'],['1982 г.п.'],['Жетысуский р-н']
 Райымбек 206 Б — ТРКМАКСИМА,13 000 000 〒,1, 20, 3/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
 Проспект Абая 163 — Ислама Карима,12 000 000 〒,1, 11.5, 5/5,['кирпичный дом'],['1964 г.п.'],['Алмалинский р-н']
 Земнухова 5,7 500 000 〒,1, 12, 1/2,['кирпичный дом'],['1970 г.п.'],['Турксибский р-н']
" мкр Шугыла, Жуалы 18",47 500 000 〒,3, 108, 2/16,['монолитный дом'],['2012 г.п.'],['Наурызбайский р-н']
 мкр Кокжиек 58,20 500 000 〒,1, 40.9, 4/6,['монолитный дом'],['2008 г.п.'],['Жетысуский р-н']
 Розыбакиева 83 — ПересечениесулицейСатпаева,55 000 000 〒,3, 69.8, 6/9,['панельный дом'],['1987 г.п.'],['Бостандыкский р-н']
 мкр Зердели (Алгабас-6) 1/30 — Момышулы,31 000 000 〒,2, 59.7, 4/5,['монолитный дом'],['2013 г.п.'],['Алатауский р-н']
 Бухар Жырау 27/5В — Маркова,426 000 000 〒,6, 355, 23/23,[],['2009 г.п.'],['Бостандыкский р-н']
 Толе би 285/8 — Отеген батыра,62 000 000 〒,3, 93.2, 1/10,['монолитный дом'],['2022 г.п.'],['Ауэзовский р-н']
 Жунисова 14/1,18 000 000 〒,1, 28, 1/10,['монолитный дом'],['2017 г.п.'],['Наурызбайский р-н']
 мкр Кокжиек 22А,15 400 000 〒,1, 30.4, 5/5,['монолитный дом'],['2013 г.п.'],['Жетысуский р-н']
" мкр Шугыла, проспект Алатау",17 000 000 〒,1, 41, 6/6,[],['2022 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Жунисова",18 700 000 〒,1, 28, 4/10,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 мкр Мамыр 3 — Жандосова,41 000 000 〒,3, 72, 3/5,['кирпичный дом'],['1992 г.п.'],['Ауэзовский р-н']
 мкр Думан-2 30,69 500 000 〒,3, 95, 1/5,['монолитный дом'],['2019 г.п.'],['Медеуский р-н']
" мкр Атырау, Кульджинский тракт 16/6 — Халык Арена",18 000 000 〒,1, 25, 6/9,['монолитный дом'],['2017 г.п.'],['Медеуский р-н']
 Брусиловского 159,76 000 000 〒,3, 125, 1/19,['монолитный дом'],['2012 г.п.'],['Алмалинский р-н']
 Гагарина 310,63 000 000 〒,2, 77, 20/20,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 ЖК Алма Сити 5/2 17 блок,15 000 000 〒,1, 31.38, 6/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 ул. Алтын Орда 6/7 к2,17 500 000 〒,1, 31.3, 4/10,['монолитный дом'],['2022 г.п.'],[]
 Чернышевского 47,10 000 000 〒,1, 28, 2/2,['кирпичный дом'],['1963 г.п.'],['Турксибский р-н']
 Гагарина 310,40 000 000 〒,1, 42, 12/20,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 мкр Аксай-3А — Толе-би-Момышулы,47 000 000 〒,3, 80, 3/10,['монолитный дом'],['2007 г.п.'],['Ауэзовский р-н']
 мкр Жас Канат 1/23 — По Баймагамбетова,26 000 000 〒,1, 45, 6/9,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
" мкр Ерменсай, Талды 63",37 100 000 〒,2, 53, 3/3,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
" мкр Каргалы, Кенесары хана",66 000 000 〒,4, 112, 2/10,['монолитный дом'],['2011 г.п.'],['Наурызбайский р-н']
 мкр Шугыла,21 000 000 〒,1, 39.5, 5/9,[],['2014 г.п.'],['Наурызбайский р-н']
 мкр Кокжиек 21,23 000 000 〒,1, 39.1, 4/6,['монолитный дом'],['2009 г.п.'],['Жетысуский р-н']
" мкр Саялы 123 — Ак-Кайнар, Автоцон",38 000 000 〒,3, 75, 1/5,['монолитный дом'],['2017 г.п.'],['Алатауский р-н']
" мкр Шугыла, Жунисова 2/13",19 400 000 〒,2, 49, 6/6,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Клочкова — Карасай батыра,39 800 000 〒,3, 62, 1/5,['панельный дом'],['1978 г.п.'],['Алмалинский р-н']
 Улица Бокейханова 510Б блок А,34 000 000 〒,2, 87, 5/9,['монолитный дом'],['2021 г.п.'],['Жетысуский р-н']
 мкр Аксай-5 2 — Момышулы и жубанова,66 000 000 〒,3, 80, 8/10,['монолитный дом'],['2006 г.п.'],['Ауэзовский р-н']
 Абая — Брусиловского,40 800 000 〒,2, 46, 17/20,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 Абиша Кекилбайулы 270,130 000 000 〒,3, 116, 6/25,['монолитный дом'],['2006 г.п.'],['Бостандыкский р-н']
 Алма сити 2 6/7 — Алтын орда - малая Алтын орда,29 990 000 〒,2, 69, 6/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Толе би 285 — Отеген батыра,38 500 000 〒,2, 52, 6/10,[],['2022 г.п.'],['Ауэзовский р-н']
" мкр 13-й военный городок, Сейфуллина 51",40 000 000 〒,2, 71, 6/10,['монолитный дом'],['2021 г.п.'],['Турксибский р-н']
 мкр Аксай-1 25,38 500 000 〒,3, 63.9, 6/12,['монолитный дом'],['1994 г.п.'],['Ауэзовский р-н']
" мкр Таугуль, Навои 9/1 9/1 — Жандосова",52 000 000 〒,3, 70.7, 5/16,['монолитный дом'],['2023 г.п.'],['Ауэзовский р-н']
 Райымбек батыра 289,35 000 000 〒,2, 55, 3/9,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 Майлина 54,45 000 000 〒,3, 65,,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
" мкр Шугыла, Мкр. Шугыла",22 000 000 〒,1, 52.4, 10/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 Абишева 3,23 200 000 〒,1, 38, 4/16,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Алтын орда",15 000 000 〒,1, 31.38, 8/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр Зердели (Алгабас-6),24 000 000 〒,1, 45, 2/9,['монолитный дом'],['2013 г.п.'],['Алатауский р-н']
 мкр Шугыла 10 к1,23 500 000 〒,1, 47, 9/10,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр Шугыла,16 000 000 〒,1, 28, 1/5,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, ул Алтын Орда",40 000 000 〒,2, 53, 5/5,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
 Егизбаева 7г — Сатпаева,41 000 000 〒,1, 45, 3/17,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 мкр Алмагуль 244 — Розыбакиева утепова,21 618 000 〒,1, 33, 1/4,['панельный дом'],['1965 г.п.'],['Бостандыкский р-н']
 Абая — Брусиловского,42 500 000 〒,2, 65.09, 13/18,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 Жандосова — Берегового,92 000 000 〒,4, 127.4, 17/17,['монолитный дом'],['2017 г.п.'],['Ауэзовский р-н']
 мкр Шугыла 590/6 — Жуалы,22 100 000 〒,1, 40, 4/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
" мкр Тастак-2, Толе Би",72 000 000 〒,3, 100, 16/21,['монолитный дом'],['2014 г.п.'],['Алмалинский р-н']
 Жандосова — Берегового,59 000 000 〒,2, 87.6, 14/17,['монолитный дом'],['2017 г.п.'],['Ауэзовский р-н']
" мкр Шугыла, Райымбека — Жуалы",34 000 000 〒,2, 61.5, 7/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
" мкр Калкаман-2, Алтын Орда 25 — Мешіт мектеп",40 000 000 〒,3, 78, 4/5,[],['2021 г.п.'],['Наурызбайский р-н']
 Жандосова 35,31 000 000 〒,1, 41.9, 1/5,['панельный дом'],['1989 г.п.'],['Бостандыкский р-н']
 мкр №12 — Шаляпина,37 000 000 〒,3, 57, 4/4,['панельный дом'],['1969 г.п.'],['Ауэзовский р-н']
 Редько 100/1,125 000 000 〒,3, 103, 1/3,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 Жунисова 12 — Раймбека,23 300 000 〒,2, 40, 4/6,[],['2022 г.п.'],[]
 мкр Айнабулак-4 174 — Жумабаева,8 500 000 〒,1, 18.9, 1/5,['панельный дом'],['1988 г.п.'],['Жетысуский р-н']
 Данченко 63,9 000 000 〒,1, 12, 2/2,['кирпичный дом'],['2017 г.п.'],['Алатауский р-н']
" мкр Шугыла, Алтын орда 6/65 — улица Алтын орда",40 000 000 〒,3, 75, 1/10,[],['2022 г.п.'],['Наурызбайский р-н']
 Муратбаева 14/6 — Макатаева Муратбаева,68 000 000 〒,4, 100, 6/13,['монолитный дом'],['2020 г.п.'],['Алмалинский р-н']
 мкр Орбита-3,33 000 000 〒,2, 44, 5/5,['панельный дом'],['1972 г.п.'],['Бостандыкский р-н']
 Сейфуллина 51,26 500 000 〒,2, 50, 8/9,['монолитный дом'],['2021 г.п.'],['Турксибский р-н']
 Муратбаева — Ташкентская,59 000 000 〒,3, 96, 6/13,['монолитный дом'],['2021 г.п.'],['Алмалинский р-н']
 Райымбека 127/147 — Абылай хана,37 000 000 〒,3, 58, 4/5,['панельный дом'],['1966 г.п.'],['Жетысуский р-н']
 Утеген батыра 11 — Grand Park,50 500 000 〒,3, 88,,['монолитный дом'],['2023 г.п.'],[]
 Валиханова 68 — Толе Би,67 000 000 〒,2, 50, 1/5,['кирпичный дом'],['1980 г.п.'],[]
 мкр Самал-3,200 000 000 〒,4, 180, 3/6,['монолитный дом'],['2007 г.п.'],['Медеуский р-н']
 мкр Акбулак 145 — Рыскулова Момышулы,50 000 000 〒,3, 88, 9/10,['монолитный дом'],['2010 г.п.'],['Алатауский р-н']
" мкр Шугыла, мкр. Шугыла 340/4 — проспект Алатау проспект Абая",38 500 000 〒,2, 62, 4/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 мкр №12 11,28 000 000 〒,2, 46, 2/4,['панельный дом'],['1968 г.п.'],['Ауэзовский р-н']
 Розыбакиева 320,63 000 000 〒,2, 47, 5/12,['монолитный дом'],['2021 г.п.'],['Бостандыкский р-н']
 мкр Атырау,73 000 000 〒,3, 93.8, 6/7,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 мкр Аксай-3А — Рядом школа номер 123,52 300 000 〒,4, 81.7, 1/5,['панельный дом'],['1993 г.п.'],['Ауэзовский р-н']
 мкр Саялы,35 000 000 〒,3, 74.1, 5/5,['монолитный дом'],['2015 г.п.'],['Алатауский р-н']
 мкр Алатау (ИЯФ),18 500 000 〒,1, 37.7, 1/5,['кирпичный дом'],['1974 г.п.'],['Медеуский р-н']
 мкр №7 21 — Абая Алтынсарина,26 000 000 〒,2, 45, 4/4,['панельный дом'],['1964 г.п.'],['Ауэзовский р-н']
 Огарева 2/7,23 000 000 〒,2, 48, 4/4,['панельный дом'],['1970 г.п.'],['Турксибский р-н']
 мкр Дорожник 8,23 000 000 〒,2, 44, 1/3,['панельный дом'],['1978 г.п.'],['Жетысуский р-н']
 утеген батыра 71а — кабдолова,16 500 000 〒,1, 22, 3/5,['кирпичный дом'],['1979 г.п.'],['Ауэзовский р-н']
 мкр Думан-2,62 500 000 〒,3, 93.5, 2/5,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 мкр Шугыла 340/4 корпус 4,43 000 000 〒,3, 84, 2/9,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 мкр Саялы 41,39 000 000 〒,3, 78, 3/5,['монолитный дом'],['2015 г.п.'],['Алатауский р-н']
 Дарабоз 69,41 000 000 〒,2, 58, 10/12,['монолитный дом'],['2022 г.п.'],['Алатауский р-н']
 Жунисова,14 900 000 〒,1, 31, 9/10,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 Брусиловского — Толе Би,42 000 000 〒,2, 62.1, 9/9,['панельный дом'],['1984 г.п.'],['Алмалинский р-н']
 Физкултурная 17 — Сейфуллина-Физкултурная,36 000 000 〒,2, 67.7, 8/9,['монолитный дом'],['2007 г.п.'],['Турксибский р-н']
 мкр Орбита-3 16,42 500 000 〒,3, 65.4, 1/5,['панельный дом'],['1976 г.п.'],['Бостандыкский р-н']
 Байтурсынова 7 а — Жибек жолы,30 500 000 〒,1, 33, 3/4,['кирпичный дом'],['1960 г.п.'],['Алмалинский р-н']
 мкр №11 — Жандосова Алтынсарина,45 500 000 〒,2, 49, 2/5,['кирпичный дом'],['1983 г.п.'],['Ауэзовский р-н']
 мкр Зердели (Алгабас-6) 1/33 — Момышулы/ Монке би,33 000 000 〒,2, 59, 4/5,['монолитный дом'],['2012 г.п.'],['Алатауский р-н']
" мкр Аксай-4, Ақсай-4 ш/а. 22",62 000 000 〒,4, 100, 7/9,['панельный дом'],['1989 г.п.'],['Ауэзовский р-н']
 мкр Жас Канат 1/16 — Шемякина Хмельницкого,35 000 000 〒,2, 63.3, 8/9,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
 Есенова 160/3,22 900 000 〒,1, 40.3, 10/13,['монолитный дом'],['2022 г.п.'],['Турксибский р-н']
 мкр Калкаман-2 36/1,51 000 000 〒,3, 82, 1/16,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 Утеген батыра 11 — Гранд парк,42 500 000 〒,2, 63.1, 3/13,[],['2023 г.п.'],[]
 Журавлева 26,48 000 000 〒,2, 62, 1/13,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 Байтурсынова 20 — Гоголя,41 000 000 〒,3, 61.6, 5/5,['панельный дом'],['1979 г.п.'],['Алмалинский р-н']
 мкр Саялы 85,30 000 000 〒,2, 65, 5/5,['монолитный дом'],['2015 г.п.'],['Алатауский р-н']
 Навои 208 — Рыскулбека,58 000 000 〒,2, 55, 16/17,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
" мкр Алтай-2, Наманганская 8 — Лавренева",25 000 000 〒,2, 44.9, 3/4,['панельный дом'],['1978 г.п.'],['Турксибский р-н']
 Торайгырова 19 — Мустафина,59 000 000 〒,3, 90, 4/12,['монолитный дом'],['2021 г.п.'],['Бостандыкский р-н']
 Райымбек батыра — ЖК Бесагаш,33 500 000 〒,3, 78.4, 3/6,['монолитный дом'],['2023 г.п.'],['Медеуский р-н']
 мкр Айнабулак-4 169,23 000 000 〒,1, 34, 2/5,['панельный дом'],['1986 г.п.'],['Жетысуский р-н']
 мкр Каргалы — Кенесары хана 54,22 500 000 〒,2, 39, 2/5,['кирпичный дом'],['1970 г.п.'],['Наурызбайский р-н']
 мкр Алтай-2 21,22 000 000 〒,3, 40, 1/2,[],['1958 г.п.'],['Турксибский р-н']
 ул. Эйхе 21А,20 000 000 〒,1, 33.4, 5/5,['панельный дом'],['1994 г.п.'],['Турксибский р-н']
 Варламова 33,69 000 000 〒,5, 160, 12/12,['монолитный дом'],['2011 г.п.'],['Алмалинский р-н']
 Масанчи 23 — Гоголя,83 000 000 〒,4, 81, 12/15,['монолитный дом'],['2015 г.п.'],['Алмалинский р-н']
 Наурызбай батыра 50 — Жибек Жолы,73 000 000 〒,2, 68, 10/12,['монолитный дом'],['2019 г.п.'],['Алмалинский р-н']
 Кабанбай батыра 87,139 000 000 〒,3, 117.5, 19/23,['монолитный дом'],['2005 г.п.'],['Алмалинский р-н']
 мкр Аксай-1 1а — Саина между Райымбек и Толе би,34 000 000 〒,2, 52.8, 2/9,['панельный дом'],['1986 г.п.'],['Ауэзовский р-н']
 мкр Дорожник 7 — Школа 87,13 500 000 〒,1, 23.4, 3/3,['панельный дом'],['1975 г.п.'],['Жетысуский р-н']
 Абишева,28 990 000 〒,2, 60, 5/10,['монолитный дом'],['2023 г.п.'],[]
" мкр Думан-2, Райымбек батыра 277А — Напротив магнума",17 500 000 〒,1, 37, 9/9,[],['2021 г.п.'],['Медеуский р-н']
 Шагабутдинова — Шагабутдинова Жамбыла,55 870 000 〒,3, 62, 3/5,['панельный дом'],['1977 г.п.'],['Алмалинский р-н']
 Макаренко 64 43 — Рыскулова Акпаева,18 000 000 〒,1, 24.6, 2/5,[],['1990 г.п.'],['Жетысуский р-н']
" мкр Таугуль, Жандосова 140/1",50 000 000 〒,3, 64.5, 4/16,['монолитный дом'],['2014 г.п.'],['Ауэзовский р-н']
 Сатпаева 90/43а,50 000 000 〒,2, 50, 13/16,['монолитный дом'],['2022 г.п.'],['Бостандыкский р-н']
 Бухтарминская 5 — Кульджинский тракт,35 000 000 〒,3, 76.55, 1/4,['монолитный дом'],['2023 г.п.'],['Турксибский р-н']
" мкр Калкаман-1, Абишева 36/7 — Калкаман 7 больница.",45 000 000 〒,2, 61, 5/14,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
" мкр Калкаман-1, Абишева 36/7 — Калкаман 7 больница.",45 000 000 〒,2, 61, 5/14,['монолитный дом'],['2020 г.п.'],['Наурызбайский р-н']
" мкр Тастак-2, Толе би 273а",43 000 000 〒,1, 60, 2/12,['монолитный дом'],['2007 г.п.'],['Алмалинский р-н']
 Аль-Фараби 77/3,240 000 000 〒,4, 174.3, 10/22,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
 мкр №1 39а — Проспект. Улугбека,25 000 000 〒,2, 43.6, 4/4,['панельный дом'],['1968 г.п.'],['Ауэзовский р-н']
 Санаторная,190 000 000 〒,4, 196, 1/6,['кирпичный дом'],['2009 г.п.'],['Бостандыкский р-н']
 мкр Шугыла 14/19,18 000 000 〒,1, 28, 4/10,['монолитный дом'],['2021 г.п.'],['Наурызбайский р-н']
 мкр Жас Канат 1/28,36 500 000 〒,2, 65.8, 7/9,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
 мкр №7 21,19 000 000 〒,1, 32, 1/4,['панельный дом'],['1964 г.п.'],['Ауэзовский р-н']
 мкр Нурлытау (Энергетик) 29/2,83 500 000 〒,3, 90, 2/3,['монолитный дом'],['2018 г.п.'],['Бостандыкский р-н']
 мкр Кокжиек 34,20 500 000 〒,1, 42, 5/6,['монолитный дом'],['2005 г.п.'],['Жетысуский р-н']
" Квартал 7 11 — Ташкентсакя, кавртал",12 800 000 〒,1, 30, 1/2,[],['2019 г.п.'],['Наурызбайский р-н']
 Казыбек би 189 — Айтиева,45 000 000 〒,3, 64, 4/4,['панельный дом'],['1968 г.п.'],['Алмалинский р-н']
" мкр Кайрат, Тараз 1/1",22 000 000 〒,2, 53.5,,['монолитный дом'],['2023 г.п.'],['Турксибский р-н']
" мкр Таугуль-2, Токтабаева 7 — Навои",30 000 000 〒,2, 50, 3/5,['кирпичный дом'],['1974 г.п.'],['Ауэзовский р-н']
 Нурмакова 79,80 000 000 〒,3, 99, 7/7,['кирпичный дом'],['2009 г.п.'],['Алмалинский р-н']
 Навои 208 — Торайгырова,61 500 000 〒,3, 73, 16/18,['монолитный дом'],['2015 г.п.'],['Бостандыкский р-н']
 мкр Акбулак,42 500 000 〒,2, 58.7, 10/12,['монолитный дом'],['2022 г.п.'],['Алатауский р-н']
 Райымбека 590/8 — Жуалы,26 000 000 〒,3, 58.6, 7/9,['монолитный дом'],['2022 г.п.'],['Наурызбайский р-н']
 мкр №3 4,30 500 000 〒,2, 45, 3/4,['панельный дом'],['1963 г.п.'],['Ауэзовский р-н']
 Брусиловского 249 — АДК,42 500 000 〒,3, 62, 1/5,['панельный дом'],['1973 г.п.'],['Бостандыкский р-н']
 Спасская 67,26 000 000 〒,1, 35, 2/5,['кирпичный дом'],['1989 г.п.'],['Турксибский р-н']
" мкр Шугыла, Жуалы 12",30 000 000 〒,1, 64, 14/16,['монолитный дом'],['2012 г.п.'],['Наурызбайский р-н']
 Толе би 285 — Отеген батыра,34 500 000 〒,2, 71, 2/10,['монолитный дом'],['2023 г.п.'],['Ауэзовский р-н']
 Байтурсынова 179 — Тимирязева,55 000 000 〒,2, 45, 5/12,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
" мкр Сайран, Утеген батыра 17б",45 000 000 〒,3, 55, 2/13,['монолитный дом'],['2016 г.п.'],['Ауэзовский р-н']
 мкр Мамыр-3 17/1 — Саина-Шаляпина,81 000 000 〒,4, 236, 9/10,['монолитный дом'],['2017 г.п.'],['Ауэзовский р-н']
 мкр Зердели (Алгабас-6),24 000 000 〒,1, 47, 1/4,['монолитный дом'],['2014 г.п.'],['Алатауский р-н']
 мкр Орбита-2 324 — Навои Альфараби,31 000 000 〒,2, 42.4, 1/5,['панельный дом'],['1975 г.п.'],['Бостандыкский р-н']
 мкр Думан-2 27,60 000 000 〒,3, 95, 5/5,['монолитный дом'],['2020 г.п.'],['Медеуский р-н']
 мкр Самал-2 27,55 500 000 〒,2, 60, 9/10,['монолитный дом'],['1991 г.п.'],['Медеуский р-н']
 Радостовца,85 000 000 〒,2, 75, 12/16,['монолитный дом'],['2016 г.п.'],['Бостандыкский р-н']
 улица Кокорай — Рыскулова,37 000 000 〒,2, 68, 3/3,['кирпичный дом'],['1989 г.п.'],['Алатауский р-н']
" мкр Атырау, Буровая 11к1",39 000 000 〒,2, 55, 2/7,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 мкр Айнабулак-2,21 200 000 〒,1, 30.7, 4/4,['панельный дом'],['1983 г.п.'],['Жетысуский р-н']
 мкр Шугыла 8,22 000 000 〒,1, 31, 8/10,[],['2022 г.п.'],['Наурызбайский р-н']
 мкр Кокжиек,23 000 000 〒,1, 36, 2/6,['монолитный дом'],['2012 г.п.'],['Жетысуский р-н']
 Шарипова 129 — Жамбыла,75 000 000 〒,3, 70, 1/5,['кирпичный дом'],['1981 г.п.'],['Алмалинский р-н']
 Манаса 3 — Шевченко,45 900 000 〒,1, 46, 3/4,['панельный дом'],['1964 г.п.'],['Алмалинский р-н']
 мкр Жас Канат 1/13,37 000 000 〒,3, 83.1, 1/9,['монолитный дом'],['2016 г.п.'],['Турксибский р-н']
" мкр Шугыла, Микрорайон «Шугыла» 342",33 500 000 〒,2, 63, 1/9,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
" мкр Шугыла, Микрорайон «Шугыла» 342",33 500 000 〒,2, 63, 1/9,['монолитный дом'],['2019 г.п.'],['Наурызбайский р-н']
 Макатаева 127/11 — Ади Шарипова,60 000 000 〒,2, 61, 6/13,['монолитный дом'],['2021 г.п.'],['Алмалинский р-н']
 Тимирязева 78 — Угол Тимирязева Розыбакиева,23 999 999 〒,1, 29, 2/4,['кирпичный дом'],['1962 г.п.'],['Бостандыкский р-н']
 Титова — Отеген Батыра,12 900 000 〒,1, 30, 3/3,['кирпичный дом'],['1960 г.п.'],[]
" мкр Шугыла, Мкр. Шугыла 340/3 — Возле Наурызбайского акимата",19 000 000 〒,1, 30.7, 3/9,['монолитный дом'],['2023 г.п.'],['Наурызбайский р-н']
 мкр Атырау 16/44,27 000 000 〒,1, 35, 9/9,['монолитный дом'],['2020 г.п.'],['Медеуский р-н']
